##,###,S,C,A,L,E,S,!,S,C,A,L,E,S,!,S,C,A,L,E,S
99,99,0.117,0.21,0.362,0.532,0.625,0.795,0.947,1.117,1.21,1.362,1.532,1.625,1.795,1.947,2.117,2.21,2.362,2.532,2.625,2.795
100,100,0.117,0.21,0.38,0.532,0.625,0.795,0.947,1.117,1.21,1.38,1.532,1.625,1.795,1.947,2.117,2.21,2.38,2.532,2.625,2.795
101,101,0.117,0.21,0.38,0.532,0.625,0.795,0.947,1.117,1.21,1.38,1.532,1.625,1.795,1.947,2.117,2.21,2.38,2.532,2.625,2.795
102,102,0.117,0.21,0.38,0.532,0.702,0.795,0.947,1.117,1.21,1.38,1.532,1.702,1.795,1.947,2.117,2.21,2.38,2.532,2.702,2.795
103,103,0.117,0.21,0.38,0.532,0.702,0.795,0.947,1.117,1.21,1.38,1.532,1.702,1.795,1.947,2.117,2.21,2.38,2.532,2.702,2.795
104,104,0.117,0.21,0.38,0.532,0.702,0.795,0.965,1.117,1.21,1.38,1.532,1.702,1.795,1.965,2.117,2.21,2.38,2.532,2.702,2.795
105,105,0.117,0.21,0.38,0.532,0.702,0.795,0.965,1.117,1.21,1.38,1.532,1.702,1.795,1.965,2.117,2.21,2.38,2.532,2.702,2.795
106,106,0.117,0.287,0.38,0.532,0.702,0.795,0.965,1.117,1.287,1.38,1.532,1.702,1.795,1.965,2.117,2.287,2.38,2.532,2.702,2.795
107,107,0.117,0.287,0.38,0.532,0.702,0.795,0.965,1.117,1.287,1.38,1.532,1.702,1.795,1.965,2.117,2.287,2.38,2.532,2.702,2.795
108,108,0.117,0.287,0.38,0.55,0.702,0.795,0.965,1.117,1.287,1.38,1.55,1.702,1.795,1.965,2.117,2.287,2.38,2.55,2.702,2.795
109,109,0.117,0.287,0.38,0.55,0.702,0.795,0.965,1.117,1.287,1.38,1.55,1.702,1.795,1.965,2.117,2.287,2.38,2.55,2.702,2.795
110,110,0.117,0.287,0.38,0.55,0.702,0.872,0.965,1.117,1.287,1.38,1.55,1.702,1.872,1.965,2.117,2.287,2.38,2.55,2.702,2.872
111,111,0.117,0.287,0.38,0.55,0.702,0.872,0.965,1.117,1.287,1.38,1.55,1.702,1.872,1.965,2.117,2.287,2.38,2.55,2.702,2.872
112,112,0.135,0.287,0.38,0.55,0.702,0.872,0.965,1.135,1.287,1.38,1.55,1.702,1.872,1.965,2.135,2.287,2.38,2.55,2.702,2.872
113,113,0.135,0.287,0.38,0.55,0.702,0.872,0.965,1.135,1.287,1.38,1.55,1.702,1.872,1.965,2.135,2.287,2.38,2.55,2.702,2.872
114,114,0.135,0.287,0.457,0.55,0.702,0.872,0.965,1.135,1.287,1.457,1.55,1.702,1.872,1.965,2.135,2.287,2.457,2.55,2.702,2.872
115,115,0.135,0.287,0.457,0.55,0.702,0.872,0.965,1.135,1.287,1.457,1.55,1.702,1.872,1.965,2.135,2.287,2.457,2.55,2.702,2.872
116,116,0.135,0.287,0.457,0.55,0.72,0.872,0.965,1.135,1.287,1.457,1.55,1.72,1.872,1.965,2.135,2.287,2.457,2.55,2.72,2.872
117,117,0.135,0.287,0.457,0.55,0.72,0.872,0.965,1.135,1.287,1.457,1.55,1.72,1.872,1.965,2.135,2.287,2.457,2.55,2.72,2.872
118,118,0.042,0.135,0.287,0.457,0.55,0.72,0.872,1.042,1.135,1.287,1.457,1.55,1.72,1.872,2.042,2.135,2.287,2.457,2.55,2.72
119,119,0.042,0.135,0.287,0.457,0.55,0.72,0.872,1.042,1.135,1.287,1.457,1.55,1.72,1.872,2.042,2.135,2.287,2.457,2.55,2.72
120,120,0.042,0.135,0.305,0.457,0.55,0.72,0.872,1.042,1.135,1.305,1.457,1.55,1.72,1.872,2.042,2.135,2.305,2.457,2.55,2.72
121,121,0.042,0.135,0.305,0.457,0.55,0.72,0.872,1.042,1.135,1.305,1.457,1.55,1.72,1.872,2.042,2.135,2.305,2.457,2.55,2.72
122,122,0.042,0.135,0.305,0.457,0.627,0.72,0.872,1.042,1.135,1.305,1.457,1.627,1.72,1.872,2.042,2.135,2.305,2.457,2.627,2.72
123,123,0.042,0.135,0.305,0.457,0.627,0.72,0.872,1.042,1.135,1.305,1.457,1.627,1.72,1.872,2.042,2.135,2.305,2.457,2.627,2.72
124,124,0.042,0.135,0.305,0.457,0.627,0.72,0.89,1.042,1.135,1.305,1.457,1.627,1.72,1.89,2.042,2.135,2.305,2.457,2.627,2.72
125,125,0.042,0.135,0.305,0.457,0.627,0.72,0.89,1.042,1.135,1.305,1.457,1.627,1.72,1.89,2.042,2.135,2.305,2.457,2.627,2.72
126,126,0.042,0.212,0.305,0.457,0.627,0.72,0.89,1.042,1.212,1.305,1.457,1.627,1.72,1.89,2.042,2.212,2.305,2.457,2.627,2.72
127,127,0.042,0.212,0.305,0.457,0.627,0.72,0.89,1.042,1.212,1.305,1.457,1.627,1.72,1.89,2.042,2.212,2.305,2.457,2.627,2.72
128,128,0.042,0.212,0.305,0.475,0.627,0.72,0.89,1.042,1.212,1.305,1.475,1.627,1.72,1.89,2.042,2.212,2.305,2.475,2.627,2.72
129,129,0.042,0.212,0.305,0.475,0.627,0.72,0.89,1.042,1.212,1.305,1.475,1.627,1.72,1.89,2.042,2.212,2.305,2.475,2.627,2.72
130,130,0.042,0.212,0.305,0.475,0.627,0.797,0.89,1.042,1.212,1.305,1.475,1.627,1.797,1.89,2.042,2.212,2.305,2.475,2.627,2.797
131,131,0.042,0.212,0.305,0.475,0.627,0.797,0.89,1.042,1.212,1.305,1.475,1.627,1.797,1.89,2.042,2.212,2.305,2.475,2.627,2.797
