###,p,4,6,1,3,5,7,2,#4,6,#1,3,#5,b7,b9,11,b13,1,b3,5,b7
78,78,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38
79,79,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38
80,80,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702
81,81,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702
82,82,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965
83,83,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965
84,84,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965,0.287
85,85,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965,0.287
86,86,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965,0.287,0.55
87,87,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965,0.287,0.55
88,88,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965,0.287,0.55,0.872
89,89,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965,0.287,0.55,0.872
90,90,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965,0.287,0.55,0.872,0.135
91,91,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965,0.287,0.55,0.872,0.135
92,92,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965,0.287,0.55,0.872,0.135,0.457
93,93,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117,0.38,0.702,0.965,0.287,0.55,0.872,0.135,0.457
