##,###,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2
95,95,0.361999999999999,0.531999999999999,0.624999999999999,0.776999999999999,0.946999999999999,1.04,1.21,1.362,1.532,1.625,1.777,1.947,2.04,2.21,2.362,2.532
96,96,0.624999999999999,0.794999999999999,0.946999999999999,1.04,1.21,1.362,1.532,1.625,1.795,1.947,2.04,2.21,2.362,2.532,2.625,2.795
97,97,0.624999999999999,0.794999999999999,0.946999999999999,1.04,1.21,1.362,1.532,1.625,1.795,1.947,2.04,2.21,2.362,2.532,2.625,2.795
98,98,0.946999999999999,1.117,1.21,1.362,1.532,1.625,1.795,1.947,2.117,2.21,2.362,2.532,2.625,2.795,2.947,3.117
99,99,0.946999999999999,1.117,1.21,1.362,1.532,1.625,1.795,1.947,2.117,2.21,2.362,2.532,2.625,2.795,2.947,3.117
100,100,0.209999999999999,0.379999999999999,0.531999999999999,0.624999999999999,0.794999999999999,0.946999999999999,1.117,1.21,1.38,1.532,1.625,1.795,1.947,2.117,2.21,2.38
101,101,0.209999999999999,0.379999999999999,0.531999999999999,0.624999999999999,0.794999999999999,0.946999999999999,1.117,1.21,1.38,1.532,1.625,1.795,1.947,2.117,2.21,2.38
102,102,0.531999999999999,0.701999999999999,0.794999999999999,0.946999999999999,1.117,1.21,1.38,1.532,1.702,1.795,1.947,2.117,2.21,2.38,2.532,2.702
103,103,0.531999999999999,0.701999999999999,0.794999999999999,0.946999999999999,1.117,1.21,1.38,1.532,1.702,1.795,1.947,2.117,2.21,2.38,2.532,2.702
104,104,0.794999999999999,0.964999999999999,1.117,1.21,1.38,1.532,1.702,1.795,1.965,2.117,2.21,2.38,2.532,2.702,2.795,2.965
105,105,0.794999999999999,0.964999999999999,1.117,1.21,1.38,1.532,1.702,1.795,1.965,2.117,2.21,2.38,2.532,2.702,2.795,2.965
106,106,0.116999999999999,0.286999999999999,0.379999999999999,0.531999999999999,0.701999999999999,0.794999999999999,0.964999999999999,1.117,1.287,1.38,1.532,1.702,1.795,1.965,2.117,2.287
107,107,0.116999999999999,0.286999999999999,0.379999999999999,0.531999999999999,0.701999999999999,0.794999999999999,0.964999999999999,1.117,1.287,1.38,1.532,1.702,1.795,1.965,2.117,2.287
108,108,0.379999999999999,0.549999999999999,0.701999999999999,0.794999999999999,0.964999999999999,1.117,1.287,1.38,1.55,1.702,1.795,1.965,2.117,2.287,2.38,2.55
109,109,0.379999999999999,0.549999999999999,0.701999999999999,0.794999999999999,0.964999999999999,1.117,1.287,1.38,1.55,1.702,1.795,1.965,2.117,2.287,2.38,2.55
